Record_ID,Equipment_Tag,Equipment_Name,Unit,Event_Date,Failure_Mode,Vibration_mms,Bearing_Temp_C,MTBF_Days,Downtime_Hours,Root_Cause,Corrective_Action,Risk_Level,Classification
REC-MRPL-1011,K-101,Centrifugal Gas Compressor,Hydrocracker Unit-2,2025-12-12,Bearing Babbit Spalling,5.7,86.0,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1012,K-102,Hydrogen Recycle Compressor,Hydrocracker Unit-2,2025-01-13,Impeller Cavitation Wear,4.8,65.5,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1013,P-201A,Crude Charge Pump,Crude Distillation Unit,2025-02-14,Lube Oil Temperature Spike,3.3,94.0,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1014,P-201B,Crude Charge Pump (Standby),Crude Distillation Unit,2025-03-15,Dry Gas Seal Vent Pressure High,5.6,67.0,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1015,P-204A,Boiler Feed Water Pump,Utilities & Power,2025-04-16,Coupling Disc Pack Fatigue,4.2,55.5,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1016,P-204B,Boiler Feed Water Pump,Utilities & Power,2025-05-17,Motor Winding Overheat,2.7,91.0,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1017,C-301,Fluid Catalytic Cracker Blower,FCC Unit,2025-06-18,Vibration Excursion,6.2,78.5,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1018,E-401A,Pre-Flash Column Heat Exchanger,Crude Distillation Unit,2025-07-19,Mechanical Seal Leak,4.0,67.0,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1019,V-502,High Pressure Hydrocarbon Separator,Hydrocracker Unit-1,2025-08-20,Bearing Babbit Spalling,6.3,87.5,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1020,P-302,Slurry Circulation Pump,FCC Unit,2025-09-21,Impeller Cavitation Wear,4.4,67.0,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1021,K-101,Centrifugal Gas Compressor,Hydrocracker Unit-2,2025-10-22,Lube Oil Temperature Spike,2.9,85.0,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1022,K-102,Hydrogen Recycle Compressor,Hydrocracker Unit-2,2025-11-23,Dry Gas Seal Vent Pressure High,5.2,68.5,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1023,P-201A,Crude Charge Pump,Crude Distillation Unit,2025-12-24,Coupling Disc Pack Fatigue,4.8,57.0,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1024,P-201B,Crude Charge Pump (Standby),Crude Distillation Unit,2025-01-25,Motor Winding Overheat,3.3,92.5,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1025,P-204A,Boiler Feed Water Pump,Utilities & Power,2025-02-26,Vibration Excursion,5.8,80.0,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1026,P-204B,Boiler Feed Water Pump,Utilities & Power,2025-03-27,Mechanical Seal Leak,3.6,68.5,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1027,C-301,Fluid Catalytic Cracker Blower,FCC Unit,2025-04-28,Bearing Babbit Spalling,5.9,89.0,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1028,E-401A,Pre-Flash Column Heat Exchanger,Crude Distillation Unit,2025-05-01,Impeller Cavitation Wear,5.0,58.0,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1029,V-502,High Pressure Hydrocarbon Separator,Hydrocracker Unit-1,2025-06-02,Lube Oil Temperature Spike,3.5,86.5,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1030,P-302,Slurry Circulation Pump,FCC Unit,2025-07-03,Dry Gas Seal Vent Pressure High,4.8,70.0,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1031,K-101,Centrifugal Gas Compressor,Hydrocracker Unit-2,2025-08-04,Coupling Disc Pack Fatigue,4.4,58.5,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1032,K-102,Hydrogen Recycle Compressor,Hydrocracker Unit-2,2025-09-05,Motor Winding Overheat,2.9,94.0,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1033,P-201A,Crude Charge Pump,Crude Distillation Unit,2025-10-06,Vibration Excursion,6.4,81.5,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1034,P-201B,Crude Charge Pump (Standby),Crude Distillation Unit,2025-11-07,Mechanical Seal Leak,4.2,70.0,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1035,P-204A,Boiler Feed Water Pump,Utilities & Power,2025-12-08,Bearing Babbit Spalling,5.5,80.0,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1036,P-204B,Boiler Feed Water Pump,Utilities & Power,2025-01-09,Impeller Cavitation Wear,4.6,59.5,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1037,C-301,Fluid Catalytic Cracker Blower,FCC Unit,2025-02-10,Lube Oil Temperature Spike,3.1,88.0,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1038,E-401A,Pre-Flash Column Heat Exchanger,Crude Distillation Unit,2025-03-11,Dry Gas Seal Vent Pressure High,5.4,71.5,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1039,V-502,High Pressure Hydrocarbon Separator,Hydrocracker Unit-1,2025-04-12,Coupling Disc Pack Fatigue,5.0,60.0,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1040,P-302,Slurry Circulation Pump,FCC Unit,2025-05-13,Motor Winding Overheat,2.5,95.5,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1041,K-101,Centrifugal Gas Compressor,Hydrocracker Unit-2,2025-06-14,Vibration Excursion,6.0,83.0,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1042,K-102,Hydrogen Recycle Compressor,Hydrocracker Unit-2,2025-07-15,Mechanical Seal Leak,3.8,61.0,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1043,P-201A,Crude Charge Pump,Crude Distillation Unit,2025-08-16,Bearing Babbit Spalling,6.1,81.5,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1044,P-201B,Crude Charge Pump (Standby),Crude Distillation Unit,2025-09-17,Impeller Cavitation Wear,5.2,61.0,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1045,P-204A,Boiler Feed Water Pump,Utilities & Power,2025-10-18,Lube Oil Temperature Spike,2.7,89.5,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1046,P-204B,Boiler Feed Water Pump,Utilities & Power,2025-11-19,Dry Gas Seal Vent Pressure High,5.0,73.0,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1047,C-301,Fluid Catalytic Cracker Blower,FCC Unit,2025-12-20,Coupling Disc Pack Fatigue,4.6,61.5,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1048,E-401A,Pre-Flash Column Heat Exchanger,Crude Distillation Unit,2025-01-21,Motor Winding Overheat,3.1,97.0,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1049,V-502,High Pressure Hydrocarbon Separator,Hydrocracker Unit-1,2025-02-22,Vibration Excursion,6.6,74.0,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1050,P-302,Slurry Circulation Pump,FCC Unit,2025-03-23,Mechanical Seal Leak,3.4,62.5,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1051,K-101,Centrifugal Gas Compressor,Hydrocracker Unit-2,2025-04-24,Bearing Babbit Spalling,5.7,83.0,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1052,K-102,Hydrogen Recycle Compressor,Hydrocracker Unit-2,2025-05-25,Impeller Cavitation Wear,4.8,62.5,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1053,P-201A,Crude Charge Pump,Crude Distillation Unit,2025-06-26,Lube Oil Temperature Spike,3.3,91.0,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1054,P-201B,Crude Charge Pump (Standby),Crude Distillation Unit,2025-07-27,Dry Gas Seal Vent Pressure High,5.6,74.5,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1055,P-204A,Boiler Feed Water Pump,Utilities & Power,2025-08-28,Coupling Disc Pack Fatigue,4.2,63.0,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1056,P-204B,Boiler Feed Water Pump,Utilities & Power,2025-09-01,Motor Winding Overheat,2.7,88.0,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1057,C-301,Fluid Catalytic Cracker Blower,FCC Unit,2025-10-02,Vibration Excursion,6.2,75.5,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1058,E-401A,Pre-Flash Column Heat Exchanger,Crude Distillation Unit,2025-11-03,Mechanical Seal Leak,4.0,64.0,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1059,V-502,High Pressure Hydrocarbon Separator,Hydrocracker Unit-1,2025-12-04,Bearing Babbit Spalling,6.3,84.5,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1060,P-302,Slurry Circulation Pump,FCC Unit,2025-01-05,Impeller Cavitation Wear,4.4,64.0,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1061,K-101,Centrifugal Gas Compressor,Hydrocracker Unit-2,2025-02-06,Lube Oil Temperature Spike,2.9,92.5,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1062,K-102,Hydrogen Recycle Compressor,Hydrocracker Unit-2,2025-03-07,Dry Gas Seal Vent Pressure High,5.2,76.0,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1063,P-201A,Crude Charge Pump,Crude Distillation Unit,2025-04-08,Coupling Disc Pack Fatigue,4.8,54.0,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1064,P-201B,Crude Charge Pump (Standby),Crude Distillation Unit,2025-05-09,Motor Winding Overheat,3.3,89.5,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1065,P-204A,Boiler Feed Water Pump,Utilities & Power,2025-06-10,Vibration Excursion,5.8,77.0,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1066,P-204B,Boiler Feed Water Pump,Utilities & Power,2025-07-11,Mechanical Seal Leak,3.6,65.5,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1067,C-301,Fluid Catalytic Cracker Blower,FCC Unit,2025-08-12,Bearing Babbit Spalling,5.9,86.0,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1068,E-401A,Pre-Flash Column Heat Exchanger,Crude Distillation Unit,2025-09-13,Impeller Cavitation Wear,5.0,65.5,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1069,V-502,High Pressure Hydrocarbon Separator,Hydrocracker Unit-1,2025-10-14,Lube Oil Temperature Spike,3.5,94.0,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1070,P-302,Slurry Circulation Pump,FCC Unit,2025-11-15,Dry Gas Seal Vent Pressure High,4.8,67.0,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1071,K-101,Centrifugal Gas Compressor,Hydrocracker Unit-2,2025-12-16,Coupling Disc Pack Fatigue,4.4,55.5,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1072,K-102,Hydrogen Recycle Compressor,Hydrocracker Unit-2,2025-01-17,Motor Winding Overheat,2.9,91.0,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1073,P-201A,Crude Charge Pump,Crude Distillation Unit,2025-02-18,Vibration Excursion,6.4,78.5,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1074,P-201B,Crude Charge Pump (Standby),Crude Distillation Unit,2025-03-19,Mechanical Seal Leak,4.2,67.0,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1075,P-204A,Boiler Feed Water Pump,Utilities & Power,2025-04-20,Bearing Babbit Spalling,5.5,87.5,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1076,P-204B,Boiler Feed Water Pump,Utilities & Power,2025-05-21,Impeller Cavitation Wear,4.6,67.0,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1077,C-301,Fluid Catalytic Cracker Blower,FCC Unit,2025-06-22,Lube Oil Temperature Spike,3.1,85.0,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1078,E-401A,Pre-Flash Column Heat Exchanger,Crude Distillation Unit,2025-07-23,Dry Gas Seal Vent Pressure High,5.4,68.5,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1079,V-502,High Pressure Hydrocarbon Separator,Hydrocracker Unit-1,2025-08-24,Coupling Disc Pack Fatigue,5.0,57.0,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1080,P-302,Slurry Circulation Pump,FCC Unit,2025-09-25,Motor Winding Overheat,2.5,92.5,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1081,K-101,Centrifugal Gas Compressor,Hydrocracker Unit-2,2025-10-26,Vibration Excursion,6.0,80.0,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1082,K-102,Hydrogen Recycle Compressor,Hydrocracker Unit-2,2025-11-27,Mechanical Seal Leak,3.8,68.5,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1083,P-201A,Crude Charge Pump,Crude Distillation Unit,2025-12-28,Bearing Babbit Spalling,6.1,89.0,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1084,P-201B,Crude Charge Pump (Standby),Crude Distillation Unit,2025-01-01,Impeller Cavitation Wear,5.2,58.0,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1085,P-204A,Boiler Feed Water Pump,Utilities & Power,2025-02-02,Lube Oil Temperature Spike,2.7,86.5,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1086,P-204B,Boiler Feed Water Pump,Utilities & Power,2025-03-03,Dry Gas Seal Vent Pressure High,5.0,70.0,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1087,C-301,Fluid Catalytic Cracker Blower,FCC Unit,2025-04-04,Coupling Disc Pack Fatigue,4.6,58.5,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1088,E-401A,Pre-Flash Column Heat Exchanger,Crude Distillation Unit,2025-05-05,Motor Winding Overheat,3.1,94.0,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1089,V-502,High Pressure Hydrocarbon Separator,Hydrocracker Unit-1,2025-06-06,Vibration Excursion,6.6,81.5,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1090,P-302,Slurry Circulation Pump,FCC Unit,2025-07-07,Mechanical Seal Leak,3.4,70.0,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1091,K-101,Centrifugal Gas Compressor,Hydrocracker Unit-2,2025-08-08,Bearing Babbit Spalling,5.7,80.0,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1092,K-102,Hydrogen Recycle Compressor,Hydrocracker Unit-2,2025-09-09,Impeller Cavitation Wear,4.8,59.5,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1093,P-201A,Crude Charge Pump,Crude Distillation Unit,2025-10-10,Lube Oil Temperature Spike,3.3,88.0,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1094,P-201B,Crude Charge Pump (Standby),Crude Distillation Unit,2025-11-11,Dry Gas Seal Vent Pressure High,5.6,71.5,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1095,P-204A,Boiler Feed Water Pump,Utilities & Power,2025-12-12,Coupling Disc Pack Fatigue,4.2,60.0,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1096,P-204B,Boiler Feed Water Pump,Utilities & Power,2025-01-13,Motor Winding Overheat,2.7,95.5,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1097,C-301,Fluid Catalytic Cracker Blower,FCC Unit,2025-02-14,Vibration Excursion,6.2,83.0,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1098,E-401A,Pre-Flash Column Heat Exchanger,Crude Distillation Unit,2025-03-15,Mechanical Seal Leak,4.0,61.0,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1099,V-502,High Pressure Hydrocarbon Separator,Hydrocracker Unit-1,2025-04-16,Bearing Babbit Spalling,6.3,81.5,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1100,P-302,Slurry Circulation Pump,FCC Unit,2025-05-17,Impeller Cavitation Wear,4.4,61.0,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
